Current Family,Current Scienticfic Name,Dowhan Family,Name in Dowhan 1979 ,Common Name(s),Origin,Conservation Status,Connecticut (sources used by Haines),Notes,Other synonyms,,,,,,
Apiaceae,Cicuta maculata L. var. maculata,Umbelliferae,Cicuta maculata L.,spotted water-hemlock; spotted cowbane,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Conioselinum chinense (L.) B.S.P.,Umbelliferae,same,Chinese hemlock-parsley; hemlock parsley,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Conium maculatum L.,Umbelliferae,same,poison-hemlock,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Coriandrum sativum L.,Umbelliferae,same,coriander,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Cryptotaenia canadensis (L.) DC.,Umbelliferae,same,Canada honewort; honewort,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Daucus carota L.,Umbelliferae,same,wild carrot; Queen Anne's lace,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Eleutherococcus pentaphyllus (Sieb. & Zucc.) Nakai,Araliaceae,Acanthopanax sieboldianus Makino,five-leaved aralia,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Eryngium planum L.,Umbelliferae,same,plains eryngo,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Eryngium yuccifolium Michx. var. yuccifolium,Umbelliferae,Eryngium yuccifolium Michx.,button eryngo; rattlesnake-master,E,,Dowhan (1979); Kartesz (2008),,,,,,,,
Apiaceae,Foeniculum vulgare P. Mill.,Umbelliferae,same,sweet fennel,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Hedera helix L.,Araliaceae,same,English-ivy,E,,,,,,,,,,
Apiaceae,Heracleum mantegazzianum Sommier & Levier,new,new,giant cow-parsnip; giant hogweed,I,,Kartesz (2010); Systematic Botany Monographs (1998),,,,,,,,
Apiaceae,Heracleum maximum Bartr.,Umbelliferae,Heracleum sphondylium L. ssp. montanum (Schleicher ex Gaudin) Briquet.,American cow-parsnip ,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Heracleum sphondylium L.,Umbelliferae,Heracleum sphondylium L. ssp. sphondylium ,European cow-parsnip,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Hydrocotyle americana L.,Umbelliferae,same,American marsh-pennywort,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Hydrocotyle umbellata L.,Umbelliferae,same,many-flowered marsh-pennywort,N,En,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Hydrocotyle verticillata Thunb.,new,new,whorled marsh-pennywort,N,En,Kartesz (1999); Connecticut Department of Environmental Protection (2003),,,,,,,,
Apiaceae,Kalopanax septemlobus (Thunb.) Koidz.,new,new,castor-aralia,E,,Kartesz (1999),,,,,,,,
